Проверка количества текущих сущностей.
Я создал 5 новых Item и это можно увидеть по вызову данной команды


D:\projects\job4j_tracker>jmap -histo 1440
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:          2666        1778536  [I (java.base@16.0.2)
   2:         23239        1689784  [B (java.base@16.0.2)
   3:          9288         453904  [Ljava.lang.Object; (java.base@16.0.2)
   4:         18367         440808  java.lang.String (java.base@16.0.2)
   5:          1291         383624  [C (java.base@16.0.2)
   6:          2655         320320  java.lang.Class (java.base@16.0.2)
   7:          6160         197120  java.util.HashMap$Node (java.base@16.0.2)
   8:          1797         158136  java.lang.reflect.Method (java.base@16.0.2)
   9:          4673         149536  java.io.ObjectStreamClass$WeakClassKey (java.base@16.0.2)
  10:          4457         142624  java.util.concurrent.ConcurrentHashMap$Node (java.base@16.0.2)
  11:           915         105264  [Ljava.util.HashMap$Node; (java.base@16.0.2)
  12:           832          99840  java.io.ObjectStreamClass (java.base@16.0.2)
  13:          2258          76128  [Ljava.lang.String; (java.base@16.0.2)
  14:          2872          68416  [Ljava.lang.Class; (java.base@16.0.2)
  15:          1343          64464  java.util.HashMap (java.base@16.0.2)
  16:          2252          54048  java.lang.Long (java.base@16.0.2)
  17:           233          46232  [J (java.base@16.0.2)
  18:          1122          44880  java.util.LinkedHashMap$Entry (java.base@16.0.2)
  19:            99          40048  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@16.0.2)
  20:           472          33984  java.lang.reflect.Field (java.base@16.0.2)
  21:           699          33552  java.lang.invoke.MemberName (java.base@16.0.2)
  22:          1378          33072  java.lang.StringBuilder (java.base@16.0.2)
  23:           448          32256  java.lang.reflect.Constructor (java.base@16.0.2)
  24:           787          31480  java.util.TreeMap$Entry (java.base@16.0.2)
  25:           482          30848  java.util.concurrent.ConcurrentHashMap (java.base@16.0.2)
  26:           406          25984  java.lang.Class$ReflectionData (java.base@16.0.2)
  27:           638          25520  java.lang.ref.SoftReference (java.base@16.0.2)
  28:           546          21840  java.lang.invoke.MethodType (java.base@16.0.2)
